REGION,EMISSION,YEAR,VALUE
RE1,EMISOx,2034,0.0
RE1,EMISOx,2035,0.0
RE1,EMISOx,2036,0.0
RE1,EMISOx,2037,0.0
RE1,EMISOx,2038,0.0
RE1,EMISOx,2039,0.0
RE1,EMISOx,2040,0.0
RE1,EMISOx,2041,0.0
RE1,EMISOx,2042,0.0
RE1,EMISOx,2043,0.0
RE1,EMISOx,2044,0.0
RE1,EMISOx,2045,0.0
RE1,EMISOx,2046,0.0
RE1,EMISOx,2047,0.0
RE1,EMISOx,2048,0.0
RE1,EMISOx,2049,0.0
RE1,EMISOx,2050,0.0
RE1,EMISOx,2051,0.0
RE1,EMISOx,2052,0.0
RE1,EMISOx,2053,0.0
RE1,EMISOx,2054,0.0
RE1,EMISOx,2055,0.0
