REGION,FUEL,YEAR,VALUE
RE1,INDOTH_ELC,2023,0.3793673898215967
RE1,INDOTH_ELC,2024,0.3719380308182366
RE1,INDOTH_ELC,2025,0.3763218640426441
RE1,INDOTH_ELC,2026,0.3843650508115338
RE1,INDOTH_ELC,2027,0.3905028648889836
RE1,INDOTH_ELC,2028,0.39865026439764
RE1,INDOTH_ELC,2029,0.4075176214033941
RE1,INDOTH_ELC,2030,0.4137438805431806
RE1,INDOTH_ELC,2031,0.420144559211083
RE1,INDOTH_ELC,2032,0.4265320839162047
RE1,INDOTH_ELC,2033,0.4329287560885389
RE1,INDOTH_ELC,2034,0.4463048331302216
RE1,INDOTH_ELC,2035,0.4630068012427481
RE1,INDOTH_ELC,2036,0.4803749115581402
RE1,INDOTH_ELC,2037,0.4985817946293892
RE1,INDOTH_ELC,2038,0.5175205321004206
RE1,INDOTH_ELC,2039,0.5372231742048497
RE1,INDOTH_ELC,2040,0.5577227710823587
RE1,INDOTH_ELC,2041,0.579054051538523
RE1,INDOTH_ELC,2042,0.6016795861591442
RE1,INDOTH_ELC,2043,0.6252279910787866
RE1,INDOTH_ELC,2044,0.6497396920191842
RE1,INDOTH_ELC,2045,0.6752569707947897
RE1,INDOTH_ELC,2046,0.7018240565078921
RE1,INDOTH_ELC,2047,0.7296199486971954
RE1,INDOTH_ELC,2048,0.7585048604776188
RE1,INDOTH_ELC,2049,0.7885174845588679
RE1,INDOTH_ELC,2050,0.8197020622425514
RE1,INDOTH_ELC,2051,0.852156739713542
RE1,INDOTH_ELC,2052,0.8859368806153587
RE1,INDOTH_ELC,2053,0.9210997790554702
RE1,INDOTH_ELC,2054,0.9575040629771008
RE1,INDOTH_ELC,2055,0.9575040629771008
RE1,INDREF,2022,1.49404813148779
RE1,INDREF,2023,1.425257135623855
RE1,INDREF,2024,1.3981177300522
RE1,INDREF,2025,1.415338945470289
RE1,INDREF,2026,1.446311406901683
RE1,INDREF,2027,1.470107555302582
RE1,INDREF,2028,1.501463637661064
RE1,INDREF,2029,1.535531388246816
RE1,INDREF,2030,1.559645018104581
RE1,INDREF,2031,1.584410508753261
RE1,INDREF,2032,1.609121760737061
RE1,INDREF,2033,1.633863531833523
RE1,INDREF,2034,1.684951509134501
RE1,INDREF,2035,1.74861566805131
RE1,INDREF,2036,1.814819923679568
RE1,INDREF,2037,1.884218316666716
RE1,INDREF,2038,1.956408823046897
RE1,INDREF,2039,2.031514311602339
RE1,INDREF,2040,2.109661487761712
RE1,INDREF,2041,2.190983466090764
RE1,INDREF,2042,2.277232715247796
RE1,INDREF,2043,2.367006328069283
RE1,INDREF,2044,2.460459202436672
RE1,INDREF,2045,2.557753344830548
RE1,INDREF,2046,2.659058218665419
RE1,INDREF,2047,2.765054114867918
RE1,INDREF,2048,2.875213494665892
RE1,INDREF,2049,2.989684932690363
RE1,INDREF,2050,3.10863810748426
RE1,INDREF,2051,3.232447249951692
RE1,INDREF,2052,3.361324525765916
RE1,INDREF,2053,3.495489528269798
RE1,INDREF,2054,3.634407875948191
RE1,INDREF,2055,3.634407875948191
RE1,MINIELC,2022,24.30064800003765
RE1,MINIELC,2023,27.26247599660291
RE1,MINIELC,2024,27.29037599995891
RE1,MINIELC,2025,20.50773878872528
RE1,MINIELC,2026,17.64864130782078
RE1,MINIELC,2027,16.1697030337467
RE1,MINIELC,2028,16.55935470717938
RE1,MINIELC,2029,12.03262935384648
RE1,MINIELC,2030,10.14228425655061
RE1,MINIELC,2031,9.904737461394634
RE1,MINIELC,2032,10.25720897260978
RE1,MINIELC,2033,10.12694820865129
RE1,MINIELC,2034,9.779847358778127
RE1,MINIELC,2035,9.845677109077544
RE1,MINIELC,2036,10.16936326377975
RE1,MINIELC,2037,10.55874846269353
RE1,MINIELC,2038,10.14768009982895
RE1,MINIELC,2039,10.02176221869582
RE1,MINIELC,2040,10.06007862026704
RE1,MINIELC,2041,10.06007862026704
RE1,MINIELC,2042,10.06007862026704
RE1,MINIELC,2043,10.06007862026704
RE1,MINIELC,2044,10.06007862026704
RE1,MINIELC,2045,10.06007862026704
RE1,MINIELC,2046,10.06007862026704
RE1,MINIELC,2047,10.06007862026704
RE1,MINIELC,2048,10.06007862026704
RE1,MINIELC,2049,10.06007862026704
RE1,MINIELC,2050,10.06007862026704
RE1,MINIELC,2051,10.06007862026704
RE1,MINIELC,2052,10.06007862026704
RE1,MINIELC,2053,10.06007862026704
RE1,MINIELC,2054,10.06007862026704
RE1,MINIELC,2055,10.06007862026704
RE1,NSEELC,2022,13.09491034764171
RE1,NSEELC,2023,16.82868350694689
RE1,NSEELC,2024,16.82868350694689
RE1,NSEELC,2025,16.82868350694689
RE1,NSEELC,2026,16.82868350694689
RE1,NSEELC,2027,16.82868350694689
RE1,NSEELC,2028,16.82868350694689
RE1,NSEELC,2029,16.82868350694689
RE1,NSEELC,2030,16.82868350694689
RE1,NSEELC,2031,16.82868350694689
RE1,NSEELC,2032,16.82868350694689
RE1,NSEELC,2033,16.82868350694689
RE1,NSEELC,2034,16.82868350694689
RE1,NSEELC,2035,16.82868350694689
RE1,NSEELC,2036,16.82868350694689
RE1,NSEELC,2037,16.82868350694689
RE1,NSEELC,2038,16.82868350694689
RE1,NSEELC,2039,16.82868350694689
RE1,NSEELC,2040,16.82868350694689
RE1,NSEELC,2041,16.82868350694689
RE1,NSEELC,2042,16.82868350694689
RE1,NSEELC,2043,16.82868350694689
RE1,NSEELC,2044,16.82868350694689
RE1,NSEELC,2045,16.82868350694689
RE1,NSEELC,2046,16.82868350694689
RE1,NSEELC,2047,16.82868350694689
RE1,NSEELC,2048,16.82868350694689
RE1,NSEELC,2049,16.82868350694689
RE1,NSEELC,2050,16.82868350694689
RE1,NSEELC,2051,16.82868350694689
RE1,NSEELC,2052,16.82868350694689
RE1,NSEELC,2053,16.82868350694689
RE1,NSEELC,2054,16.82868350694689
RE1,NSEELC,2055,16.82868350694689
RE1,RESCLIM_RUR,2022,0.1429391599812142
RE1,RESCLIM_RUR,2023,0.1585232629432273
RE1,RESCLIM_RUR,2024,0.1677956558451141
RE1,RESCLIM_RUR,2025,0.1774602295088465
RE1,RESCLIM_RUR,2026,0.1875310560876003
RE1,RESCLIM_RUR,2027,0.19802919372684
