REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
RE1,DEMINDBAGBOI_LOW,BAG,1.0,2023,1.538461538461538
RE1,DEMINDBAGBOI_LOW,BAG,1.0,2024,1.538461538461538
RE1,DEMINDBAGBOI_LOW,BAG,1.0,2025,1.538461538461538
RE1,DEMINDBAGBOI_LOW,BAG,1.0,2026,1.538461538461538
RE1,DEMINDBAGBOI_LOW,BAG,1.0,2027,1.538461538461538
RE1,DEMINDBAGBOI_LOW,BAG,1.0,2028,1.538461538461538
RE1,DEMINDBAGBOI_LOW,BAG,1.0,2029,1.538461538461538
RE1,DEMINDBAGBOI_LOW,BAG,1.0,2030,1.538461538461538
RE1,DEMINDBAGBOI_LOW,BAG,1.0,2031,1.538461538461538
RE1,DEMINDBAGBOI_LOW,BAG,1.0,2032,1.538461538461538
RE1,DEMINDBAGBOI_LOW,BAG,1.0,2033,1.538461538461538
