REGION,TECHNOLOGY,VALUE
RE1,DEMRESLPGCKN_LOW_URB,99999.0
RE1,DEMRESLPGCKN_MID_RUR,99999.0
RE1,DEMRESLPGCKN_MID_URB,99999.0
RE1,DEMRESNGSCKN_HIG_RUR,99999.0
RE1,DEMRESNGSCKN_HIG_URB,99999.0
RE1,DEMRESNGSCKN_LOW_RUR,99999.0
RE1,DEMRESNGSCKN_LOW_URB,99999.0
RE1,DEMRESNGSCKN_MID_RUR,99999.0
RE1,DEMRESNGSCKN_MID_URB,99999.0
RE1,DEMRESNGSWHT_FOR_HIG_RUR,99999.0
RE1,DEMRESNGSWHT_FOR_HIG_URB,99999.0
RE1,DEMRESNGSWHT_FOR_LOW_RUR,99999.0
RE1,DEMRESNGSWHT_FOR_LOW_URB,99999.0
RE1,DEMRESNGSWHT_FOR_MID_RUR,99999.0
RE1,DEMRESNGSWHT_FOR_MID_URB,99999.0
RE1,DEMRESNGSWHT_NAT_HIG_RUR,99999.0
RE1,DEMRESNGSWHT_NAT_HIG_URB,99999.0
RE1,DEMRESNGSWHT_NAT_LOW_RUR,99999.0
RE1,DEMRESNGSWHT_NAT_LOW_URB,99999.0
RE1,DEMRESWOOCKN_HIG_RUR,99999.0
RE1,DEMRESWOOCKN_HIG_URB,99999.0
RE1,DEMRESWOOCKN_LOW_RUR,99999.0
RE1,DEMRESWOOCKN_LOW_URB,99999.0
RE1,DEMRESWOOCKN_MID_RUR,99999.0
RE1,DEMRESWOOCKN_MID_URB,99999.0
RE1,DEMRESZNIBGSCKN_MID,99999.0
RE1,DEMRESZNIELCCKN_LOW,99999.0
RE1,DEMRESZNIELC_LOW,99999.0
RE1,DEMRESZNILPGCKN_MID,99999.0
RE1,DEMRESZNIWOOCKN_LOW,99999.0
RE1,DEMRES_MEDPVA_URB,99999.0
RE1,DEMTERBGSCKN_HIG,99999.0
RE1,DEMTERBGSCKN_LOW,99999.0
RE1,DEMTERBGSCKN_MID,99999.0
RE1,DEMTERELCACL_HIG,99999.0
RE1,DEMTERELCACL_LOW,99999.0
RE1,DEMTERELCACL_MID,99999.0
